Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,St. Vincent and the Grenadines,VCT,..,7.91378021240234,..,..,..,5.16055679321289,5.73339986801147,5.7319598197937,5.69377994537354,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sudan,SDN,..,1.01217997074127,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Suriname,SUR,..,..,..,..,..,5.53467988967896,5.6405200958252,5.45867013931274,4.92254018783569,6.83226013183594,5.00707006454468,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sweden,SWE,5.2121901512146,6.740149974823,7.5369701385498,7.61120986938477,7.57372999191284,7.4439001083374,7.61861991882324,7.56883001327515,7.64084005355835,7.63851022720337,7.17000007629395,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Switzerland,CHE,4.38824987411499,4.64836978912354,4.85834980010986,4.8690299987793,4.87779998779297,4.93844985961914,4.92645978927612,4.9515700340271,4.86325979232788,5.09326410293579,5.21999979019165,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tajikistan,TJK,..,2.32871007919312,4.01803016662598,..,..,4.96774005889893,5.76367998123169,5.83796977996826,5.55836009979248,5.71290016174316,5.91716289520264,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tanzania,TZA,2.13807010650635,..,3.4709300994873,3.35795998573303,3.38488006591797,4.19486999511719,4.10197019577026,4.4305100440979,3.69643998146057,3.59683990478516,3.2251501083374,3.29779005050659
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Thailand,THA,..,5.25345993041992,3.59691834449768,3.82439851760864,3.91917753219604,3.86397624015808,3.76761746406555,3.46532154083252,3.19860005378723,3.02062010765076,3.14571094512939,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Timor-Leste,TLS,..,..,7.16674518585205,5.68140316009521,7.66011190414429,6.29563283920288,6.01923990249634,5.14450883865356,4.81987905502319,4.137038230896,4.15306186676025,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Togo,TGO,..,3.92090010643005,4.71920013427734,4.42364978790283,4.78455018997192,5.10860013961792,3.68649005889893,3.7605299949646,4.04394006729126,4.06913995742798,3.99125003814697,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tonga,TON,..,4.87807989120483,..,..,..,..,..,..,6.3729100227356,7.95963001251221,6.52057313919067,6.60617733001709
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Trinidad and Tobago,TTO,3.65412998199463,2.75565004348755,4.54982995986938,5.11880016326904,5.33194017410278,3.38720989227295,3.95391011238098,3.57550001144409,3.30403995513916,3.69809007644653,4.10374021530151,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tunisia,TUN,5.79086017608643,6.20196008682251,5.95086002349854,6.96745014190674,6.88186979293823,6.22044992446899,7.32434988021851,..,..,..,..,..
